input_path,output_filename,title,authors,doi
/Users/xinby/MinerU/18.pdf-90f23b6f-9535-438b-9ded-95b90fe30f61,18.md,Energy and socioeconomic system transformation through a decade of IPCC-assessed scenarios,"D. J. van de Ven, S. Mittal, A. Nikas, G. Xexakis, A. Gambhir, L. Hermwille, P. Fragkos, W. Obergassel, M. Gonzalez-Eguino, F. Filippidou, I. Sognnaes, L. Clarke, G. P. Peters",10.1038/s41558-024-02198-6
/Users/xinby/MinerU/19.pdf-606cced9-9efa-4920-a471-a0ea9c3ef90d,19.md,Representing gender inequality in scenarios improves understanding of climate challenges,"Marina Andrijevic, Caroline Zimm, Jonathan D. Moyer, Raya Muttarak, Shonali Pachauri",
/Users/xinby/MinerU/20.pdf-6d3f7132-3b63-4dc3-bf56-b6adca1e37dd,20.md,A year above 1.5 °C signals that Earth is most probably within the 20-year period that will reach the Paris Agreement limit,"Emanuele Bevacqua, Carl-Friedrich Schleussner, Jakob Zscheischler",10.1038/s41558-025-02246-9
/Users/xinby/MinerU/21.pdf-0ca50486-db3a-417c-85a3-b1f4514c63c4,21.md,Tracing inclusivity at UNFCCC conferences through side events and interest group dynamics,"Judy Jingwei Xie, Nora Alessandra Escher, Matilda E. Dunn, Yurong Yu, Iain Staffell, Joeri Rogelj",10.1038/s41558-025-02254-9
/Users/xinby/MinerU/22.pdf-52ecba98-a6cc-4698-8f59-28739fd7cd7b,22.md,Climate-driven connectivity loss impedes species adaptation to warming in the deep ocean,"Yuxuan Lin, Yuxin Chen, Xin Liu, Xing Lin, Edward A. Laws, Yuntao Zhou, Zhiyuan Xiang, Xinyi Zhang, Zhixue Chen, Yi Li, Yonglong Lu",10.1038/s41558-025-02256-7
/Users/xinby/MinerU/23.pdf-3b13e5fd-c0b3-42a3-9c20-1a20939dae0b,23.md,Heterogeneous pressure on croplands from land-based strategies to meet the 1.5 °C target,"Peichao Gao, Yifan Gao, Yang Ou, Haewon McJeon, Gokul Iyer, Sijing Ye, Xiaofan Yang, Changqing Song",10.1038/s41558-025-02294-1
/Users/xinby/MinerU/24.pdf-f4a0f2ce-b67e-4c87-b369-d0e4e4d5e498,24.md,China's carbon sinks from land-use change underestimated,"Yakun Zhu, Xiaosheng Xia, Josep G. Canadell, Shilong Piao, Xinqing Lu, Umakant Mishra, Xuhui Wang, Wenping Yuan, Zhangcai Qin",10.1038/s41558-025-02296-z
/Users/xinby/MinerU/25.pdf-2b0c43c9-b394-449a-a3c8-d0e560fc383f,25.md,Trade risks to energy security in net-zero emissions energy scenarios,"Jing Cheng, Dan Tong, Hongyan Zhao, Ruochong Xu, Yue Qin, Qiang Zhang, Karan Bhuwalka, Ken Caldeira, Steven J. Davis",10.1038/s41558-025-02305-1
/Users/xinby/MinerU/26.pdf-607de254-ab5a-4d10-8324-e719531882e9,26.md,Subsurface heatwaves in lakes,"R. Iestyn Woolway, Miraj B. Kayastha, Yan Tong, Lian Feng, Haoran Shi, Pengfei Xue",10.1038/s41558-025-02314-0
/Users/xinby/MinerU/27.pdf-0e57b5f9-9f0f-4e41-9b3d-4d9f7259a3f0,27.md,High-income groups disproportionately contribute to climate extremes worldwide,"Sarah Schöngart, Zebedee Nicholls, Roman Hoffmann, Setu Pelz, Carl-Friedrich Schleussner",10.1038/s41558-025-02325-x
/Users/xinby/MinerU/28.pdf-d1de51d1-d508-4ef0-8e6d-ae2b93577f69,28.md,Risks of unavoidable impacts on forests at 1.5 °C with and without overshoot,"Gregory Munday, Chris D. Jones, Norman J. Steinert, Camilla Mathison, Eleanor J. Burke, Chris Smith, Chris Huntingford, Rebecca M. Varney, Andy J. Wiltshire",10.1038/s41558-025-02327-9
/Users/xinby/MinerU/29.pdf-14eb31d7-f809-468b-84ec-ec8997e39301,29.md,Meeting climate target with realistic demand-side policies in the residential sector,"Lucas Vivier, Alessio Mastrucci, Bas van Ruijven",10.1038/s41558-025-02348-4
/Users/xinby/MinerU/30.pdf-dd6ba59d-fdaa-4893-a629-670b64d5d7a6,30.md,Improving cost-benefit analyses for health-considered climate mitigation policymaking,"Jianxiang Shen, Shihui Zhang, Mengzhen Zhao, Chi Zhang, Wenjia Cai, Can Wang",
/Users/xinby/MinerU/31.pdf-363838cf-bca1-44a0-935e-c05c78488c28,31.md,Synergies and complementarities between ecosystem accounting and the Red List of Ecosystems,"Hui Xiao, Amanda Driver, Andres Etter, David A. Keith, Carl Obst, Michael J. Traurig, Emily Nicholson",
/Users/xinby/MinerU/32.pdf-01b704f2-ba72-4ab2-8160-9995cbc9a331,32.md,Five lessons for avoiding failure when scaling in conservation,"Thomas Pienkowski, Arundhati Jagadish, Willow Battista, Gloria Christelle Blaise, Alec Philip Christie, Matt Clark, Antony Philip Emenyu, Abha Joglekar, Kristian Steensen Nielsen, Tom Powell, Thomas White, Morena Mills",
/Users/xinby/MinerU/33.pdf-e995f0de-544e-4045-a9b6-2a93200a443b,33.md,The productivity-stability trade-offing global food systems,"Marie Gutgesell, Kevin McCann, Reilly O'Connor, Krishna KC, Evan D. G. Fraser, John C. Moore, Bailey McMeans, Ian Donohue, Carling Bieg, Charlotte Ward, Brett Pauli, Alexa Scott, William Gillam, Ze'ev Gedalof, Robert H. Hanner, Tyler Tunney, Neil Rooney",10.5281/zenodo.12702274
/Users/xinby/MinerU/34.pdf-b2788873-68c8-4ba7-bbdf-785c48728a7f,34.md,Diverse prehistoric cattle husbandry strategies in the forests of Central Europe,"Rosalind E. Gillis, Iain P. Kendall, Mélanie Roffet-Salque, Marco Zanon, Alexandra Anders, Rose-Marie Arbogast, Peter Bogucki, Veronika Brychova, Emmanuelle Casanova, Erich Classen, Piroska Csengeri, Lech Czerniak, László Domboróczki, Denis Fiorillo, Detlef Gronenborn, Lamys Hachem, János Jakucs, Michael Ilett, Kyra Lyublyanovics, Eva Lenneis, Arkadiusz Marciniak, Tibor Marton, Krisztian Oross, Juraj Pavuk, Joachim Pechtl, Joanna Pyzel, Peter Stadler, Harald Stäuble, Ivana Vostrovská, Ivo van Wijk, Jean-Denis Vigne, Marie Balasse, Richard P. Evershed",
/Users/xinby/MinerU/35.pdf-b34b241e-3cd1-4ddf-ba84-3c3539a68482,35.md,Anthropogenic land consolidation intensifies zoonotic host diversity loss and disease transmission in human habitats,"Shan Pei, Pengbo Yu, Jayna Raghwani, Yuxin Wang, Ziyuan Liu, Yidan Li, Yanchao Cheng, Qiushi Lin, Chuliang Song, Guha Dharmarajan, Christina L. Faust, Yunyu Tian, Yiting Xu, Yilin Liang, Jianhui Qu, Jing Wei, Shen Li, Tongjun Zhang, Chaofeng Ma, Nita Bharti, Bernard Cazelles, Ruifu Yang, Oliver G. Pybus, Andrew P. Dobson, Nils Chr. Stenseth, Huaiyu Tian",
/Users/xinby/MinerU/36.pdf-14975b8c-1b3b-45b6-b5d4-507a8919f20b,36.md,Limits to the ability of carbon farming projects to deliver benefits for threatened species,"Jayden E. Engert, Penny van Oosterzee",
/Users/xinby/MinerU/37.pdf-206bf8a2-7617-4e37-a07e-66a5075e5ed2,37.md,Winner-loser plant trait replacements in human-modified tropical forests,"Bruno X. Pinho, Felipe P. L. Melo, Cajo J. F. ter Braak, David Bauman, Isabelle Maréchaux, Marcelo Tabarelli, Maíra Benchimol, Victor Arroyo-Rodriguez, Bráulio A. Santos, Joseph E. Hawes, Erika Berenguer, Joice Ferreira, Juliana M. Silveira, Carlos A. Peres, Larissa Rocha-Santos, Fernanda C. Souza, Thiago Gonçalves-Souza, Eduardo Mariano-Neto, Deborah Faria, Jos Barlow",10.6084/m9.figshare.25565169
/Users/xinby/MinerU/38.pdf-90b64d64-630a-429d-9f21-41a7eb925399,38.md,Adaptive genomic signatures of globally invasive populations of the yellow fever mosquito Aedes aegypti,"Alejandro N. Lozada-Chávez, Irma Lozada-Chávez, Niccolò Alfano, Umberto Palatini, Davide Sogliani, Samia Elfekih, Teshome Degefa, Maria V. Sharakhova, Athanase Badolo, Patchara Sriwichai, Mauricio Casas-Martínez, Bianca C. Carlos, Rebeca Carballar-Lejarazú, Louis Lambrechts, Jayme A. Souza-Neto, Mariangela Bonizzoni",
